"";"marca";"submarca";"vr";"mod";"trans";"comb";"cil";"pot";"tam";"cat";"r.Ciudad";"r.Carretera";"r.Comb";"r.Ajust";"CO2";"NOx";"GEI";"CA"
"2523";"FORD";"MUSTANG";"2PTS 3.7L 6CIL 305HP MAN";"2011";"Manual";"Gasolina";"6";305;3,7;"AUTOS DEPORTIVOS";9,9;17,1;13,6;10,2;229;18;"6";NA
"2524";"FORD";"MUSTANG";"2PTS 3.7L 6CIL 305HP MAN";"2012";"Manual";"Gasolina";"6";305;3,7;"AUTOS DEPORTIVOS";9,9;17,1;13,6;10,2;229;18;"6";NA
"2525";"VOLVO";"S60";"AWD 4PTS 1.6L 4CIL 180HP AUT TURBO";"2011";"Auto";"Gasolina";"4";180;1,6;"AUTOS DEPORTIVOS";9,9;16,39;13,43;10,07;232;17;"6";NA
"2526";"VOLVO";"S60";"AWD 4PTS 1.6L 4CIL 180HP AUT TURBO";"2012";"Auto";"Gasolina";"4";180;1,6;"AUTOS DEPORTIVOS";9,9;16,39;13,43;10,07;232;17;"6";NA
"2527";"FORD";"MUSTANG";"2PTS 3.7L 6CIL 305HP MAN";"2013";"Manual";"Gasolina";"6";305;3,7;"AUTOS DEPORTIVOS";9,9;17,1;13,6;10,2;229;18;"6";NA
"2528";"VOLVO";"S60";"AWD 4PTS 1.6L 4CIL 180HP AUT TURBO";"2013";"Auto";"Gasolina";"4";180;1,6;"AUTOS DEPORTIVOS";9,9;16,4;13,43;10,07;231;17;"6";NA
"2529";"MINI";"JOHN COOPER WORKS";"3PTS 1.6L 4CIL 211HP AUT";"2013";"Auto";"Gasolina";"4";211;1,6;"AUTOS DEPORTIVOS";9,9;18,86;13,98;10,48;222;44;"6";NA
"2530";"VOLVO";"S60";"AWD 4PTS 1.6L 4CIL 180HP AUT TURBO";"2014";"Auto";"Gasolina";"4";180;1,6;"AUTOS DEPORTIVOS";9,9;16,4;13,43;10,07;231;27;"6";NA
"2531";"PORSCHE";"911";"CABRIOLET/ TARGA 4 2PTS 3.4L 6CIL 350HP PDK INTEGRAL";"2016";"Dbl.Embrague";"Gasolina";"6";350;3,4;"AUTOS DEPORTIVOS";9,9;16,7;12,12;9,09;256;10;"5";"9"
"2532";"PORSCHE";"911";"CARRERA COUPE/CABRIO 2PTS 3.4L 6CIL 350HP MAN";"2016";"Manual";"Gasolina";"6";350;3,4;"AUTOS DEPORTIVOS";9,9;16,7;12,12;9,09;256;10;"5";"9"
"2533";"PORSCHE";"911";"CARRERA COUPE/CABRIO 2PTS 3.4L 6CIL 350HP PDK";"2016";"Dbl.Embrague";"Gasolina";"6";350;3,4;"AUTOS DEPORTIVOS";9,9;16,7;12,12;9,09;256;10;"5";"9"
"2534";"VW";"GOLF";"GTI 3PTS 2.0L 4CIL 211HP DSG FSI TURBO";"2012";"Dbl.Embrague";"Gasolina";"4";211;2;"AUTOS DEPORTIVOS";9,8;16,39;11,96;8,97;260;8;"5";"9"
"2535";"PORSCHE";"911";"CABRIOLET 4 GTS 2PTAS 3.8L 6CIL 430HP PDK TRACCION INTEGRAL";"2017";"Dbl.Embrague";"Gasolina";"6";430;3,8;"AUTOS DEPORTIVOS";9,8;16,2;11,92;8,94;261;18;"5";"8"
"2536";"PORSCHE";"911";"CARRERA 4 GTSB 2PTAS 3.8L 6CIL 430HP PDK TRACCION INTEGRAL";"2017";"Dbl.Embrague";"Gasolina";"6";430;3,8;"AUTOS DEPORTIVOS";9,8;16,2;11,92;8,94;261;18;"5";"8"
"2537";"PORSCHE";"911";"CARRERA GTS 2PTAS 3.8L 6CIL 430HP PDK";"2017";"Dbl.Embrague";"Gasolina";"6";430;3,8;"AUTOS DEPORTIVOS";9,8;16,2;11,92;8,94;261;18;"5";"8"
"2538";"PORSCHE";"911";"GTS CABRIOLET 2PTAS 3.8L 6CIL 430HP PDK";"2017";"Dbl.Embrague";"Gasolina";"6";430;3,8;"AUTOS DEPORTIVOS";9,8;16,2;11,92;8,94;261;18;"5";"8"
"2539";"PORSCHE";"911";"TARGA GTS 2PTAS 3.8L 6CIL 430HP PDK TRACCION INTEGRAL";"2017";"Dbl.Embrague";"Gasolina";"6";430;3,8;"AUTOS DEPORTIVOS";9,8;16,2;11,92;8,94;261;18;"5";"8"
"2540";"PORSCHE";"BOXSTER";"CONVERTIBLES 2 PTAS 2.5L 6CIL 350HP PDK";"2017";"Dbl.Embrague";"Gasolina";"6";350;2,5;"AUTOS DEPORTIVOS";9,8;17,3;12,18;9,13;255;29;"5";"6"
"2541";"PORSCHE";"911";"CABRIOLET 4 GTS 2PTAS 3.8L 6CIL 430HP PDK TRACCION INTEGRAL";"2016";"Dbl.Embrague";"Gasolina";"6";430;3,8;"AUTOS DEPORTIVOS";9,8;16,2;11,92;8,94;261;18;"5";"8"
"2542";"PORSCHE";"911";"CARRERA 4 GTSB 2PTAS 3.8L 6CIL 430HP PDK TRACCION INTEGRAL";"2016";"Dbl.Embrague";"Gasolina";"6";430;3,8;"AUTOS DEPORTIVOS";9,8;16,2;11,92;8,94;261;18;"5";"8"
"2543";"PORSCHE";"911";"CARRERA GTS 2PTAS 3.8L 6CIL 430HP PDK";"2016";"Dbl.Embrague";"Gasolina";"6";430;3,8;"AUTOS DEPORTIVOS";9,8;16,2;11,92;8,94;261;18;"5";"8"
"2544";"PORSCHE";"911";"GTS CABRIOLET 2PTAS 3.8L 6CIL 430HP PDK";"2016";"Dbl.Embrague";"Gasolina";"6";430;3,8;"AUTOS DEPORTIVOS";9,8;16,2;11,92;8,94;261;18;"5";"8"
"2545";"PORSCHE";"911";"TARGA GTS 2PTAS 3.8L 6CIL 430HP PDK TRACCION INTEGRAL";"2016";"Dbl.Embrague";"Gasolina";"6";430;3,8;"AUTOS DEPORTIVOS";9,8;16,2;11,92;8,94;261;18;"5";"8"
"2546";"PORSCHE";"BOXSTER";"CONVERTIBLES 2 PTAS 2.5L 6CIL 350HP PDK";"2016";"Dbl.Embrague";"Gasolina";"6";350;2,5;"AUTOS DEPORTIVOS";9,8;17,3;12,18;9,13;255;29;"5";"6"
"2547";"PORSCHE";"BOXSTER";"S 2PTS 3.4L 6CIL 315HP MAN";"2013";"Manual";"Gasolina";"6";315;3,4;"AUTOS DEPORTIVOS";9,71;15,65;11,71;8,78;265;7;"4";"9"
"2548";"MINI";"COOPER S";"COUNTRYMAN ALL4 5PTS 1.6L 4CIL 184HP AUT TURBO";"2011";"Auto";"Gasolina";"4";184;1,6;"AUTOS DEPORTIVOS";9,7;16,13;13,2;9,9;236;22;"6";NA
